id_site;site;id_alat;lat;lon;elevasi;id_provinsi;id_kabupaten;id_kecamatan;date_created;id_user
74050802a;Staklim Konawe Selatan;a;-4.0562;122.4492;30;74;7405;740508;2021/01/06 21:19:00;1
51030101a;Bawil III;a;-8.73877;115.17855;8;51;5103;510301;2021/01/06 21:19:00;1
51030102a;Stamet Ngurah Rai;a;-8.74948;115.17709;5;51;5103;510301;2021/01/06 21:19:00;1
51060409a;Trunyan;a;-8.2653;115.42163;1054;51;5106;510604;2021/01/06 21:19:00;1
51080904a;BPP Tejakula;a;-8.13342;115.35808;19;51;5108;510809;2021/01/06 21:19:00;1
51010102a;Staklim Jembrana;a;-8.34062;114.61678;22;51;5101;510101;2021/01/06 21:19:00;1
51070502a;Kahang-kahang;a;-8.36535;115.61134;155;51;5107;510705;2021/01/06 21:19:00;1
51050403a;Kusamba;a;-8.56763;115.44465;6;51;5105;510504;2021/01/06 21:19:00;1
51710302a;Stageof Sanglah;a;-8.67743;115.20975;16;51;5171;517103;2021/01/06 21:19:00;1
75050701a;tomilito;a;0.5233;122.5599;31;75;7505;750507;2021/01/06 21:19:00;1
11060402a;ARR Bd. Krueng Aceh, Seulimeum;a;5.37025;95.56333;43;11;1106;110604;2021/01/06 21:19:00;1
11060302a;Staklim Aceh Besar;a;5.40368;95.46479;64;11;1106;110603;2021/01/06 21:19:00;1
11140401b;Sampoiniet;b;4.81784;95.43732;8;11;1114;111404;2021/01/06 21:19:00;1
11160702a;Kebun Pulau Tiga Wil I;a;4.26483;97.8836;41;11;1116;111607;2021/01/06 21:19:00;1
11160703a;Kebun Pulau Tiga Wil II;a;4.18493;97.93623;39;11;1116;111607;2021/01/06 21:19:00;1
11030302a;ARR Idi Rayeuk;a;4.95245;97.76107;7;11;1103;110303;2021/01/06 21:19:00;1
11030601a;Nurussalam;a;5.03305;97.65054;5;11;1103;110306;2021/01/06 21:19:00;1
11082001a;Paya Bakong;a;4.99;97.23;21;11;1108;110820;2021/01/06 21:19:00;1
11082201a;Simpang Kramat;a;5.09;97.12;27;11;1108;110822;2021/01/06 21:19:00;1
11170402a;Gayo Mandiri, Bandar;a;4.75137;96.90066;1456;11;1117;111704;2021/01/06 21:19:00;1
11730201a;Banda Sakti;a;5.2;97.13;8;11;1173;117302;2021/01/06 21:19:00;1
11150402a;ARR Bd. Jeuram, Beutong;a;4.25541;96.42532;87;11;1115;111504;2021/01/06 21:19:00;1
11150702a;PT. Socfindo, Kuala;a;4.07098;96.2934;8;11;1115;111507;2021/01/06 21:19:00;1
11150703a;Stamet Cut Nyak Dien;a;4.04896;96.24785;6;11;1115;111507;2021/01/06 21:19:00;1
11161002a;Kebun Pulau Tiga Afdeling 7;a;4.26709;97.83284;34;11;1116;111610;2021/01/06 21:19:00;1
11151001a;Beutong Ateuh Banggalang;a;4.46278;96.51091;544;11;1115;111510;2021/01/06 21:19:00;1
11050902a;Keb. Batee Puteh, Meureubo;a;4.113;96.213;21;11;1105;110509;2021/01/06 21:19:00;1
82051301a;Falabisahaya;a;-1.835;125.489;0;82;8205;820513;2021/01/06 21:19:00;1
82050301a;Waina;a;-2.11416;125.87056;16;82;8205;820503;2021/01/06 21:19:00;1
17032001a;Air Padang;a;-3.45993;102.08663;50;17;1703;170320;2021/01/06 21:19:00;1
17031203a;Pinang Raya;a;-3.32762;101.89503;57;17;1703;170312;2021/01/06 21:19:00;1
17010501a;SMPK Manna;a;-4.44;102.9;35;17;1701;170105;2021/01/06 21:19:00;1
17090501a;Pagar jati;a;-3.6;102.36;77;17;1709;170905;2021/01/06 21:19:00;1
17040702a;Maje;a;-4.80281;103.40087;13;17;1704;170407;2021/01/06 21:19:00;1
17051401a;Ilir talo;a;-4.2;102.66;26;17;1705;170514;2021/01/06 21:19:00;1
17050801a;Sandabi a;a;-4.05;102.49;23;17;1705;170508;2021/01/06 21:19:00;1
52061701a;Lambitu;a;-8.6611;118.825;548;52;5206;520617;2021/01/06 21:19:00;1
52061601a;Parado;a;-8.8533;118.6944;251;52;5206;520616;2021/01/06 21:19:00;1
62010203a;Pasir Panjang BPP;a;-2.66653;111.67108;0;62;6201;620102;2021/01/06 21:19:00;1
62010603a;Berambai Makmur;a;-2.5326;111.73765;0;62;6201;620106;2021/01/06 21:19:00;1
62020601a;Pelangsian;a;-2.60579;112.95508;4;62;6202;620206;2021/01/06 21:19:00;1
62030603a;Anjir Palambang;a;-2.8574;114.50339;0;62;6203;620306;2021/01/06 21:19:00;1
